concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/aspace-collect/date-type/single,Enkel,"
","
",https://data.antwerp.be/id/term/aspace-collect/date-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/archiefdozen,Archiefdozen,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/banden,Banden,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/gigabytes,Gigabytes,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/megabytes,Megabytes,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/meter,Meter,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/niet-gespecifieerd,Niet-gespecifieerd,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/omslagen,Omslagen,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/pakken,Pakken,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/extent-type/stukken,Stukken,"
","
",https://data.antwerp.be/id/term/aspace-collect/extent-type
https://data.antwerp.be/id/term/aspace-collect/language/afr,Afrikaans,"
",http://vocab.getty.edu/aat/300387782,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/dut,Nederlands,"
",http://vocab.getty.edu/aat/300388256,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/eng,Engels,"
",http://vocab.getty.edu/aat/300388277,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/fre,Frans,"
",http://vocab.getty.edu/aat/300388306,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/ger,Duits,"
",http://vocab.getty.edu/aat/300388344,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/gle,Iers,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/gre,Grieks,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/hun,Hongaars,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/ita,Italiaans,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
