concept;parent;label;comment;aat_identifier
https://data.antwerp.be/id/term/adlib-thesau/term-type/acqmeth;https://data.antwerp.be/id/term/adlib-thesau/term-type;Verwervinsgmethode;;http://vocab.getty.edu/aat/300417634
https://data.antwerp.be/id/term/adlib-thesau/term-type/activ;https://data.antwerp.be/id/term/adlib-thesau/term-type;Activiteit;;http://vocab.getty.edu/aat/300404112
https://data.antwerp.be/id/term/adlib-thesau/term-type/animal;https://data.antwerp.be/id/term/adlib-thesau/term-type;Dier;;http://vocab.getty.edu/aat/300249525
https://data.antwerp.be/id/term/adlib-thesau/term-type/aspect;https://data.antwerp.be/id/term/adlib-thesau/term-type;Aspect;;https://www.wikidata.org/wiki/Q21040055
https://data.antwerp.be/id/term/adlib-thesau/term-type/assoc;https://data.antwerp.be/id/term/adlib-thesau/term-type;Associatie;;http://vocab.getty.edu/aat/300452097
https://data.antwerp.be/id/term/adlib-thesau/term-type/coll;https://data.antwerp.be/id/term/adlib-thesau/term-type;Collectie;;http://vocab.getty.edu/aat/300025976
https://data.antwerp.be/id/term/adlib-thesau/term-type/concept;https://data.antwerp.be/id/term/adlib-thesau/term-type;Concept;;https://www.wikidata.org/wiki/Q151885
https://data.antwerp.be/id/term/adlib-thesau/term-type/cond;https://data.antwerp.be/id/term/adlib-thesau/term-type;Toestand;;http://vocab.getty.edu/aat/300389724
https://data.antwerp.be/id/term/adlib-thesau/term-type/country;https://data.antwerp.be/id/term/adlib-thesau/term-type;Land;;http://vocab.getty.edu/aat/300387506
https://data.antwerp.be/id/term/adlib-thesau/term-type/dim;https://data.antwerp.be/id/term/adlib-thesau/term-type;Afmeting;;http://vocab.getty.edu/aat/300266036
https://data.antwerp.be/id/term/adlib-thesau/term-type/dispmeth;https://data.antwerp.be/id/term/adlib-thesau/term-type;Afstotingsmethode;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/doctype;https://data.antwerp.be/id/term/adlib-thesau/term-type;Type document;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/event;https://data.antwerp.be/id/term/adlib-thesau/term-type;Gebeurtenis;;http://vocab.getty.edu/aat/300069084
https://data.antwerp.be/id/term/adlib-thesau/term-type/geokeyw;https://data.antwerp.be/id/term/adlib-thesau/term-type;Geografisch trefwoord;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-thesau/term-type/guide;https://data.antwerp.be/id/term/adlib-thesau/term-type;Gidsterm;;http://vocab.getty.edu/aat/300386700
https://data.antwerp.be/id/term/adlib-thesau/term-type/insctype;https://data.antwerp.be/id/term/adlib-thesau/term-type;Soort opschrift;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/keyword;https://data.antwerp.be/id/term/adlib-thesau/term-type;Trefwoord;;http://vocab.getty.edu/aat/300311841
https://data.antwerp.be/id/term/adlib-thesau/term-type/language;https://data.antwerp.be/id/term/adlib-thesau/term-type;Taal;;http://vocab.getty.edu/aat/300386046
https://data.antwerp.be/id/term/adlib-thesau/term-type/loss;https://data.antwerp.be/id/term/adlib-thesau/term-type;Verlies/schade methode;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/mater;https://data.antwerp.be/id/term/adlib-thesau/term-type;Materiaal;;http://vocab.getty.edu/aat/300010358
https://data.antwerp.be/id/term/adlib-thesau/term-type/motif;https://data.antwerp.be/id/term/adlib-thesau/term-type;Motief;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/movement;https://data.antwerp.be/id/term/adlib-thesau/term-type;Verplaatsing methode;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/namtype;https://data.antwerp.be/id/term/adlib-thesau/term-type;Type objectnaam;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/nationality;https://data.antwerp.be/id/term/adlib-thesau/term-type;Nationaliteit;;http://vocab.getty.edu/aat/300379842
https://data.antwerp.be/id/term/adlib-thesau/term-type/objcat;https://data.antwerp.be/id/term/adlib-thesau/term-type;Objectcategorie;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/object;https://data.antwerp.be/id/term/adlib-thesau/term-type;Objectnaam;;http://vocab.getty.edu/aat/300311889
https://data.antwerp.be/id/term/adlib-thesau/term-type/occupation;https://data.antwerp.be/id/term/adlib-thesau/term-type;Beroep;;http://vocab.getty.edu/aat/300393201
https://data.antwerp.be/id/term/adlib-thesau/term-type/people;https://data.antwerp.be/id/term/adlib-thesau/term-type;Volk;;http://vocab.getty.edu/aat/300192630
https://data.antwerp.be/id/term/adlib-thesau/term-type/period;https://data.antwerp.be/id/term/adlib-thesau/term-type;Periode;;http://vocab.getty.edu/aat/300081446
https://data.antwerp.be/id/term/adlib-thesau/term-type/place;https://data.antwerp.be/id/term/adlib-thesau/term-type;Plaats;;http://vocab.getty.edu/aat/300248479
https://data.antwerp.be/id/term/adlib-thesau/term-type/preservationform;https://data.antwerp.be/id/term/adlib-thesau/term-type;Bewaarvorm;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/propname;https://data.antwerp.be/id/term/adlib-thesau/term-type;Eigennaam;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/repro-type;https://data.antwerp.be/id/term/adlib-thesau/term-type;Soort reproductie;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/research;https://data.antwerp.be/id/term/adlib-thesau/term-type;Onderzoek/gebruik methode;;http://vocab.getty.edu/aat/300054687
https://data.antwerp.be/id/term/adlib-thesau/term-type/research-result;https://data.antwerp.be/id/term/adlib-thesau/term-type;Onderzoek/gebruik resultaat;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/role;https://data.antwerp.be/id/term/adlib-thesau/term-type;Rol;;http://vocab.getty.edu/aat/300435108
https://data.antwerp.be/id/term/adlib-thesau/term-type/school;https://data.antwerp.be/id/term/adlib-thesau/term-type;School/stijl;;http://vocab.getty.edu/aat/300404284
https://data.antwerp.be/id/term/adlib-thesau/term-type/script;https://data.antwerp.be/id/term/adlib-thesau/term-type;Schrift;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/subject;https://data.antwerp.be/id/term/adlib-thesau/term-type;Onderwerp;;http://vocab.getty.edu/aat/300404126
https://data.antwerp.be/id/term/adlib-thesau/term-type/techn;https://data.antwerp.be/id/term/adlib-thesau/term-type;Techniek;;http://vocab.getty.edu/aat/300138082
https://data.antwerp.be/id/term/adlib-thesau/term-type/topterm;https://data.antwerp.be/id/term/adlib-thesau/term-type;Topterm;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/transport;https://data.antwerp.be/id/term/adlib-thesau/term-type;Transport;;http://vocab.getty.edu/aat/300055244
https://data.antwerp.be/id/term/adlib-thesau/term-type/treat;https://data.antwerp.be/id/term/adlib-thesau/term-type;Behandeling;;
https://data.antwerp.be/id/term/adlib-thesau/term-type/unit;https://data.antwerp.be/id/term/adlib-thesau/term-type;Eenheid;;https://www.wikidata.org/wiki/Q147574
https://data.antwerp.be/id/term/aspace;https://data.antwerp.be/id/term/Datahub;Aspace;;
https://data.antwerp.be/id/term/aspace-agents;https://data.antwerp.be/id/term/aspace;Agent (aspace);;
https://data.antwerp.be/id/term/aspace-agents/agent-type;https://data.antwerp.be/id/term/aspace-agents;Agent type (aspace);;http://vocab.getty.edu/aat/300055863
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-corporate-entity;https://data.antwerp.be/id/term/aspace-agents/agent-type;Corporatieve entiteit;;
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-family;https://data.antwerp.be/id/term/aspace-agents/agent-type;Familie;;http://vocab.getty.edu/aat/300055474
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-person;https://data.antwerp.be/id/term/aspace-agents/agent-type;Persoon;;http://vocab.getty.edu/aat/300024979
https://data.antwerp.be/id/term/aspace-agents/identifier-type;https://data.antwerp.be/id/term/aspace-agents;Identificator type;;http://vocab.getty.edu/aat/300055863
https://data.antwerp.be/id/term/aspace-agents/identifier-type/lh;https://data.antwerp.be/id/term/aspace-agents/identifier-type;Letterenhuis;;http://viaf.org/viaf/150846374
https://data.antwerp.be/id/term/aspace-agents/identifier-type/mpm;https://data.antwerp.be/id/term/aspace-agents/identifier-type;Museum Plantin-Moretus;;
https://data.antwerp.be/id/term/aspace-agents/identifier-type/rub;https://data.antwerp.be/id/term/aspace-agents/identifier-type;Rubenshuis;;
